c1;c2;c3;c4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
5.839691;98.43156;16.928034;16.928034;0.82639605;0.0;0;-29.210608600940816;-12.0879191289157;29.817973473559096;12.0879191289157;-1.1353287885959669;0.20179252118611385;0.18967942390624515;0.3076923076923077
28.145575;22.340025;22.340025;22.340025;1.2435719;0.0;0;-34.41525312892751;-19.587108304444;34.756246125806406;19.587108304444;-1.0970178410166556;0.20179252118611385;0.18967942390624515;0.02564102564102564
29.36644;48.80274;48.80274;48.80274;0.86522967;0.0;0;-36.14500024955144;-19.58827732795109;36.444674515959136;19.58827732795109;-1.0821550470656927;0.20179252118611385;0.18967942390624515;0.02564102564102564
66.19503;14.959679;14.959679;14.959679;1.0734133;0.0;0;-34.15966340998133;-17.839280181015425;34.43273462807051;17.839280181015425;-1.072585643041985;0.20179252118611385;0.18967942390624515;0.02564102564102564
55.707645;35.006424;35.006424;35.006424;0.77102375;0.0;0;-35.263111171529715;-19.000040924700414;35.708523252498864;19.000040924700414;-1.1345785141952032;0.20179252118611385;0.18967942390624515;0.02564102564102564
78.39198;71.7339;71.37847;9.039122;0.78323615;0.0;0;-34.85110808498267;-17.982402452381734;35.055243888503924;17.982402452381734;-1.037995905454443;0.20179252118611385;0.18967942390624523;0.05128205128205128
66.43471;17.45447;17.45447;17.45447;1.1083759;0.0;0;-34.35116792326919;-18.67522419844869;34.643346911484386;18.67522419844869;-1.0794589144858686;0.20179252118611385;0.18967942390624515;0.02564102564102564
40.644623;58.139317;22.554508;22.554508;1.067584;0.0;0;-31.688509140694077;-14.272747926344948;32.013520413627425;14.272747926344948;-1.0912690421722773;0.20179252118611385;0.18967942390624515;0.10256410256410256
81.4039;41.675934;13.238067;13.238067;1.0900812;0.0;0;-30.09963652815264;-13.400099775534244;30.533401156896133;13.400099775534244;-1.1210678882251903;0.20179252118611385;0.18967942390624515;0.15384615384615385
16.705622;5.1674385;5.1674385;5.1674385;0.8654852;0.0;0;-29.90063235103757;-17.079795225616436;30.31707381804561;17.079795225616436;-1.1241574712196207;0.20179252118611385;0.18967942390624515;0.07692307692307693
2.28098;93.3082;65.584694;31.796593;1.2424445;0.0;0;-33.22543459129024;-16.184871742656526;33.53747973442897;16.184871742656526;-1.086604985138552;0.20179252118611385;0.18967942390624515;0.02564102564102564
9.0138855;41.366177;41.366177;41.366177;1.0291876;0.0;0;-35.443655326165356;-18.85899199063411;35.91610538065466;18.85899199063411;-1.1443043655148972;0.20179252118611385;0.18967942390624515;0.05128205128205128
72.23871;78.39481;69.70008;14.681905;1.2347741;0.0;0;-34.26957942639766;-16.55266948380941;34.55592585933405;16.55266948380941;-1.0716017101049833;0.20179252118611385;0.18967942390624515;0.02564102564102564
46.193104;41.637184;41.637184;41.637184;0.83208525;0.0;0;-36.07740319257893;-19.588120325272826;36.368268950634544;19.588120325272826;-1.0789865314031966;0.20179252118611385;0.18967942390624515;0.02564102564102564
16.135565;93.73666;16.257458;16.257458;0.95254976;0.0;0;-29.047023374554236;-12.010079912171932;29.65240038474687;12.010079912171932;-1.1366286528515848;0.20179252118611385;0.18967942390624515;0.3076923076923077
50.109467;29.054129;29.054129;29.054129;0.91784275;0.0;0;-35.61611862163313;-19.587155179047045;35.90117054537618;19.587155179047045;-1.0768952323611616;0.20179252118611385;0.18967942390624515;0.02564102564102564
15.239687;41.228943;41.228943;32.05923;1.1275375;0.0;0;-35.06218760784207;-19.57628707085948;35.45119460739676;19.57628707085948;-1.114288996746582;0.20179252118611385;0.18967942390624515;0.02564102564102564
69.63507;75.88883;10.347956;10.347956;1.1237857;0.0;0;-27.67568747728641;-11.556808451800606;28.52385901447188;11.556808451800606;-1.1593784647651155;0.20179252118611385;0.18967942390624515;0.3076923076923077
44.621166;34.373295;15.004195;15.004195;0.9932719;0.0;0;-31.85738298376083;-13.400419193477319;32.17276579135463;13.400419193477319;-1.0878055791187509;0.20179252118611385;0.1896794239062452;0.07692307692307693
38.10831;36.442062;36.442062;36.442062;0.758074;0.0;0;-35.916832664945396;-19.590895848098455;36.21298534625141;19.590895848098455;-1.0808882948409675;0.20179252118611385;0.18967942390624523;0.02564102564102564
30.158194;99.48237;86.871895;57.36265;0.83760285;0.0;0;-34.96866712652787;-18.001758258800834;35.316858862683134;18.001758258800834;-1.0996073053431492;0.20179252118611385;0.18967942390624515;0.02564102564102564
63.031956;55.565895;55.565895;55.565895;0.77513283;0.0;0;-36.28946240171046;-19.589410783155785;36.590072870809344;19.589410783155785;-1.0824918092928162;0.20179252118611385;0.18967942390624515;0.02564102564102564
36.18764;68.941154;3.6301193;3.6301193;1.1735073;0.0;0;-25.045898030081133;-9.989900779673803;26.820967708122815;10.214748523939534;-0.6549656998581564;0.3394110335863994;0.20427995216031236;0.3333333333333333
8.774116;64.34979;64.34979;60.74348;0.8948858;0.0;0;-36.386321760180884;-19.47627490035802;36.62508872257293;19.47627490035802;-1.0602460314843871;0.20179252118611385;0.1896794239062452;0.05128205128205128
11.80941;82.794136;13.959295;13.959295;0.80896133;0.0;0;-28.986860226069766;-12.038894305641065;29.616917955067766;12.038894305641065;-1.138597347232797;0.20179252118611385;0.18967942390624515;0.3076923076923077
96.19015;86.18389;23.263897;21.97606;0.9270862;0.0;0;-30.659563798489344;-13.042386840270666;31.10454008432044;13.042386840270666;-1.1127934594629683;0.20179252118611385;0.18967942390624515;0.20512820512820512
90.858986;56.32998;56.32998;56.32998;0.7886447;0.0;0;-36.36161166313509;-19.589303630940293;36.62245511158943;19.589303630940293;-1.0681871821384188;0.20179252118611385;0.18967942390624518;0.02564102564102564
69.97372;29.462662;29.462662;29.462662;1.2394285;0.0;0;-35.177188657400514;-19.38841445994788;35.45887015334025;19.38841445994788;-1.075682853050468;0.20179252118611385;0.18967942390624515;0.02564102564102564
