[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete
160.78899;418.10834;670.45355;32.120384;757.5242;51.281723;6.133161;0.31834668;0.35347956;0.022325866;1.1168798;559.80664;44.073082;8.852001;0.25638336;0.35347956;0.022325866;0.88210034;52.768093;26.20523;4.013719;0.35347956;1.1098715;0.0;0
699.3572;761.2756;112.356;63.76971;750.0957;0.61903316;6.8806586;1.2330215;0.47642842;1.7664901;0.65037286;460.1584;0.61903316;0.16457902;1.2330215;0.47642842;0.20439535;0.65037286;63.32328;0.61903316;1.5924339;0.13636948;1.027498;0.0;0
451.6947;350.23065;158.45738;21.352766;491.67834;44.300606;1.262304;0.7410834;1.8795608;1.6635392;1.8696584;491.67834;4.020409;1.526159;0.04274654;0.83520633;0.77425957;1.850281;18.065603;4.020409;7.875844;0.79477626;1.1270565;0.0;0
387.21103;370.7135;637.64276;79.56143;25.986525;19.652954;4.602462;1.4955479;0.28213838;1.4567477;1.1068492;25.986525;19.652954;5.4575496;0.042998005;0.28213838;0.67949134;1.1068492;8.653513;15.150695;6.9323955;0.28213838;0.94335467;0.0;0
308.49698;994.87494;870.01874;57.401028;183.45366;74.92691;4.6393323;1.1643713;1.7608254;1.7575372;1.3113526;183.45366;72.55046;4.638463;1.1643713;1.2894448;1.2949448;1.3113526;31.036057;56.648132;6.645262;0.32023302;0.91197354;0.0;0
633.9798;560.0584;663.812;95.73159;59.763012;75.79956;8.354473;0.11781839;1.6852517;0.37657404;0.16128136;59.763012;57.72049;8.730637;0.11781839;1.1631099;0.37657404;0.16128136;49.38525;26.358448;9.456185;1.1631099;1.222794;0.0;0
368.1945;692.48663;45.842766;71.20586;848.54443;61.61191;4.692483;1.0717565;1.4898999;0.570899;0.9804975;363.84155;58.382374;8.147716;1.0717565;0.07931253;0.570899;0.44649914;87.07658;58.382374;8.037592;0.07931253;0.86227643;0.0;0
96.77342;647.0276;970.7286;60.778816;296.87384;42.22635;4.0738897;1.4911398;0.9984768;0.3226717;1.1631514;296.87384;2.4323492;5.292735;0.7775722;0.9984768;0.3226717;1.055121;74.41001;2.4323492;8.988274;0.9984768;0.830104;0.0;0
126.82584;829.6449;148.11183;82.93295;126.74341;31.092379;1.2433699;0.5329489;0.5241516;1.2967714;0.5879018;126.74341;31.092379;9.491471;0.5329489;0.5241516;1.2967714;0.5879018;74.98705;19.987814;7.607179;0.5241516;0.96759236;0.0;0
962.2787;863.20685;240.23662;22.04629;360.63065;82.76345;6.947699;1.3125077;1.6636499;0.8823999;1.4741757;131.59328;82.76345;3.6010005;1.3125077;0.74315864;0.09677062;1.0298897;82.048035;34.002365;7.4574;0.74315864;0.78413683;0.0;0
909.4949;567.6236;975.2176;63.31097;86.516426;50.75865;6.201697;1.6834422;1.6698092;0.21426181;0.9384942;86.516426;46.257523;6.5241776;1.0226153;0.6904872;0.21426181;0.35923454;28.80997;46.257523;7.5864434;0.6904872;0.96611524;0.0;0
